,Strain.original.name,Codigo.CCBT,Serogroup.x,Serotype,Origin,Isolate.date,Geographic.origin,conservacion,Growth,ELISA.x,Zot.x,Zot.Ace.x,ctxA.x,tcp.x,N.Caja,Observ.x,RAPD,PFGE,VCR.PCR,REP.PCR,Supplier.Name,Strain.name,Serogroup.y,Serotipe,Origen,Isolation.date,City,Province,TCBS,TSA,Oxidase,ELISA.y,Zot.y,Zot.Ace.y,ctxA.y,tcp.y,Observ.y,Lane,Sample,Public.Name,Strain,Geographic.origin_NR,latitude,longitude,Province_Geographic.origin_NR,contaminated
197,S1278,,no-O1,,Human,19/10/1992,Salta,caja 4 temp amb.,TCBS+ TSA+ Oxidas+,Negative,,,,,5,,,,NA,,CCBT0063,VC210,non-O1,,Human,01/09/1992,,Salta,Positive,Positive,Positive,Negative,Negative,Negative,Negative,NR,NA,26268_1#153,4772STDY6940849,NA,NA,Salta,-24.832143,-65.539433,Salta,
52,J18/W,,O1,Ogawa,Ambiental,07/04/1992,Jujuy,,,Positive,Positive,Positive,Positive,El Tor,1,,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
53,J17/ W,,O1,Ogawa,Ambiental,07/04/1992,Jujuy,,,Positive,Positive,Positive,Positive,NR,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
54,J4,,O1,Ogawa,Human,07/04/1992,Jujuy,,,Positive,Positive,Positive,Positive,NR,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
55,J9,,O1,Ogawa,Human,07/04/1992,Jujuy,,,Positive,Positive,Positive,Positive,NR,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
56,J10,,O1,Ogawa,Human,07/04/1992,Jujuy,,,Positive,Positive,Positive,Positive,NR,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
263,S25,,no-O1,,Ambiental,13/11/1992,Salta,,,Negative,,,,,6,,,,NA,,CCBT0215,,O1,Ogawa,Human,21/04/1992,,Salta,Positive,Positive,Positive,Positive,,,,,NA,26268_1#281,4772STDY6940979,NA,NA,Salta,-24.832143,-65.539433,Salta,
279,S23,,no-O1,,Ambiental,13/11/1992,Salta,,,Negative,,,,,6,,,,NA,,CCBT0168,,O1,Ogawa,Human,21/04/1992,,Salta,Positive,Positive,Positive,Positive,Positive,Positive,Positive,NR,NA,26268_1#238,4772STDY6940936,NA,NA,Salta,-24.832143,-65.539433,Salta,
281,S26,CCBT0069,no-O1,,Ambiental,13/11/1992,Salta,,,Negative,,,,,6,,,,NA,,CCBT0069,VC237,non-O1,,Environmental,13/11/1992,,Salta,,,,Negative,,,,,NA,26268_1#159,4772STDY6940855,NA,NA,Salta,-24.832143,-65.539433,Salta,
284,S1511,,O1,Ogawa,Human,13/11/1992,"Tartagal, Salta",caja 6 temp amb ,TCBS+ TSA+ Oxidasa+,Positive,Negative,Negative,Negative,Negative,6,,,,NA,,CCBT0100,,O1,Ogawa,Human,13/11/1992,Tartagal,Salta,Positive,Positive,Positive,Positive,Negative,Negative,Negative,Negativo,NA,26268_1#186,4772STDY6940884,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
61,F99 H,,O1,Ogawa,Ambiental,21/04/1992,Formosa,vial seco,,Positive,Positive,Positive,Positive,NR,3,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formosa,-26.177909,-58.188489,Formosa,
62,F33,,O1,Ogawa,Human,21/04/1992,Formosa,,vial seco,Positive,Positive,Positive,Positive,NR,3,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formosa,-26.177909,-58.188489,Formosa,
